date,product,sales,quantity,region,revenue
2024-01-01,Laptop,1200,5,North,6000
2024-01-02,Monitor,350,8,South,2800
2024-01-03,Keyboard,45,20,East,900
2024-01-04,Mouse,25,15,West,375
2024-01-05,Laptop,1200,3,North,3600
2024-01-06,Monitor,350,12,South,4200
2024-01-07,Keyboard,45,25,East,1125
2024-01-08,Mouse,25,20,West,500
2024-01-09,Laptop,1200,4,North,4800
2024-01-10,Monitor,350,10,South,3500
2024-01-11,Keyboard,45,18,East,810
2024-01-12,Mouse,25,16,West,400
2024-01-13,Laptop,1200,6,North,7200
2024-01-14,Monitor,350,9,South,3150
2024-01-15,Keyboard,45,22,East,990
2024-01-16,Mouse,25,14,West,350
2024-01-17,Laptop,1200,5,North,6000
2024-01-18,Monitor,350,11,South,3850
2024-01-19,Keyboard,45,19,East,855
2024-01-20,Mouse,25,17,West,425
